user_id,user_gender,user_age,age_group,country,location,interests,user_id_collision
a2474,Female,24,18-24,United Kingdom,New Mariomouth,"fitness, health",False
141e5,Male,21,18-24,Germany,Danielsfort,"food, fitness, lifestyle",False
34db0,Male,27,25-34,Australia,Vincentchester,"fashion, news",False
20d08,Female,28,25-34,India,Lisaport,"health, news, finance",False
9e830,Male,28,25-34,United States,Brownmouth,"health, photography, lifestyle",False
cea78,Male,33,25-34,Australia,North Chad,fitness,False
8416b,Male,22,18-24,Mexico,Gallagherbury,"health, technology, news",False
53afb,Male,31,25-34,India,Chambersport,travel,False
e3f22,Male,25,25-34,Canada,West Phillip,fashion,False
01820,Female,32,25-34,Canada,West Carla,"gaming, lifestyle",False
73f8a,Male,19,18-24,United Kingdom,Justinview,"news, health",False
a4089,Male,35,35-44,Japan,Wardmouth,food,False
b759f,Male,35,35-44,Canada,Edwardsmouth,fashion,False
b11c1,Female,27,25-34,United States,New Steven,health,False
90619,Female,24,18-24,Japan,Lake Courtneyfort,finance,False
7332b,Female,20,18-24,France,East Sierrafort,"news, lifestyle, travel",True
72304,Other,21,18-24,India,South Ryanmouth,"photography, sports",False
7dfcf,Male,24,18-24,United States,North Cindy,"news, travel",False
44b7d,Male,23,18-24,United States,Knightton,finance,False
e37ba,Other,23,18-24,United Kingdom,East Adam,"lifestyle, news, art",False
027c7,Female,34,25-34,Canada,Lake Cheryl,"photography, lifestyle",False
d2628,Other,33,25-34,Japan,Port Elizabeth,"travel, gaming",False
73e4a,Male,30,25-34,United States,Peterchester,"gaming, health, photography",False
b3c74,Female,31,25-34,Germany,Port Kristina,"lifestyle, art",False
56b94,Male,25,25-34,Canada,East Austin,"fitness, photography",False
f032e,Male,35,35-44,United States,Port Christine,"sports, finance",False
2ac33,Female,29,25-34,Brazil,South Carlaborough,fitness,False
4ff04,Male,20,18-24,India,Brandiland,fitness,False
418c3,Female,38,35-44,United States,East William,"food, fitness",False
fb5e6,Male,20,18-24,United States,West Brandonshire,"travel, technology",False
f3538,Female,31,25-34,Canada,Leeside,"photography, travel, art",False
79803,Male,37,35-44,Canada,East Karen,travel,False
62728,Male,25,25-34,United States,South Michaelbury,art,False
882de,Male,23,18-24,Canada,Lake Monica,food,False
7204f,Male,25,25-34,Germany,Garciatown,finance,False
287ba,Male,18,18-24,Japan,Webbmouth,art,False
0e025,Female,45,45-54,Canada,Shawnhaven,"fashion, health, news",False
6a960,Female,23,18-24,United States,East Wanda,"fashion, gaming",False
d915e,Female,23,18-24,Canada,Port Nancy,technology,False
d8071,Male,16,16-17,Japan,Danielview,"lifestyle, health, finance",False
1a4dd,Male,34,25-34,United States,Kingside,"art, news",False
f6fe8,Male,16,16-17,India,Collierfurt,"fashion, sports, fitness",False
357ea,Male,31,25-34,Brazil,Weaverfurt,"travel, technology, news",False
0ff2f,Female,28,25-34,United States,Walterberg,photography,False
816a3,Male,18,18-24,Canada,South Lynn,"sports, technology",False
d209e,Male,20,18-24,Canada,East Brett,"health, sports",False
b708c,Male,41,35-44,Japan,West Jasonmouth,"photography, sports",False
57796,Male,22,18-24,Canada,Hodgesstad,"art, sports, food",False
64a7b,Male,38,35-44,Germany,Port Wandaville,"travel, technology",False
16e2b,Male,28,25-34,United States,Port Rhonda,"health, finance, travel",False
5e657,Male,35,35-44,United Kingdom,North Denise,"health, fitness, fashion",False
31a47,Male,23,18-24,United States,Port Derek,"food, finance, fashion",False
81518,Female,20,18-24,Germany,Stacymouth,fitness,False
d684a,Male,28,25-34,United States,New Deborah,health,False
1592c,Male,18,18-24,United Kingdom,West Carrie,"finance, travel",False
ffa49,Female,31,25-34,United Kingdom,West Keith,"fitness, art",False
d5179,Female,25,25-34,United States,New Leemouth,fitness,False
3aadb,Male,45,45-54,India,Matthewborough,"finance, news, sports",False
9e8a6,Male,16,16-17,Germany,Port Kristin,news,False
569f4,Female,32,25-34,Australia,Frostton,gaming,False
193ff,Other,18,18-24,Australia,Port Ryan,"fashion, finance",False
f7ed0,Male,34,25-34,Germany,North Henry,"lifestyle, fitness",False
10624,Female,16,16-17,France,Gregport,"travel, gaming",False
6dbad,Female,26,25-34,India,Davischester,"fitness, travel, gaming",False
db310,Male,65,55-65,France,Lake Joseph,fitness,False
722ab,Female,25,25-34,Germany,West Anthonytown,"art, fitness",False
4515c,Female,43,35-44,United States,Lake Matthew,"gaming, sports, food",False
02d20,Other,19,18-24,Canada,Josephland,"lifestyle, art",False
f8d8a,Male,16,16-17,United States,Lake Jason,"travel, fitness",False
3e340,Female,19,18-24,Japan,Stephenland,"finance, news, food",False
25864,Male,20,18-24,United Kingdom,Ashleyshire,food,False
cf12b,Female,45,45-54,United States,Port Margaret,health,False
2cff5,Female,16,16-17,United States,East Jessicamouth,"travel, fitness, technology",True
